ID,Name,OnTime,OffTime
1,"BR1 Closet Light",1350943920,1350943980
1,"BR1 Closet Light",1350944040,1350944100
1,"BR1 Closet Light",1350944160,1350944220
2,"BR1 DVD",1351099620,1351099680
2,"BR1 DVD",1351099740,1351099800
2,"BR1 DVD",1351099860,1351099920
2,"BR1 DVD",1351099980,1351100040
3,"BR1 Lights",1350943560,1350943620
3,"BR1 Lights",1350943680,1350943740
3,"BR1 Lights",1350943800,1350943860
4,"BR2 Closet Light",1350942840,1350942900
4,"BR2 Closet Light",1350942960,1350943020
4,"BR2 Closet Light",1350943080,1350943140
5,"BR2 Lights",1350942480,1350942540
5,"BR2 Lights",1350942600,1350942660
5,"BR2 Lights",1350942720,1350942780
6,"Backyard Light",1350943200,1350943260
6,"Backyard Light",1350943320,1350943380
6,"Backyard Light",1350943440,1350943500
7,"Balcony Lights",1350948600,1350948660
7,"Balcony Lights",1350948720,1350948780
7,"Balcony Lights",1350948840,1350948900
8,"Central Vacuum",1334357040,1334357070
9,"Coffee Maker",1351101720,1351102410
9,"Coffee Maker",1351103160,1351103820
10,"Dining Room Lights",1350944640,1350944700
10,"Dining Room Lights",1350944760,1350944820
10,"Dining Room Lights",1350944880,1350944940
11,"Dishwasher",1351020960,1351026540
11,"Dishwasher",1351181010,1351186500
12,"Downstairs Bathroom Fan",1350941760,1350941820
12,"Downstairs Bathroom Fan",1350941880,1350941940
12,"Downstairs Bathroom Fan",1350942000,1350942060
13,"Downstairs Bathroom Fan Lights",1350942120,1350942180
13,"Downstairs Bathroom Fan Lights",1350942240,1350942300
13,"Downstairs Bathroom Fan Lights",1350942360,1350942420
14,"Downstairs Bathroom Lights",1350941400,1350941460
14,"Downstairs Bathroom Lights",1350941520,1350941580
14,"Downstairs Bathroom Lights",1350941640,1350941700
15,"Downstairs Hallway Lights",1350940260,1350940320
15,"Downstairs Hallway Lights",1350940380,1350940440
15,"Downstairs Hallway Lights",1350940500,1350940560
16,"Dryer",1334356020,1334356110
17,"GR LCD TV",1351104750,1351104810
17,"GR LCD TV",1351104930,1351104990
17,"GR LCD TV",1351105110,1351105170
17,"GR LCD TV",1351105290,1351105350
18,"GR Lights",1350944280,1350944340
18,"GR Lights",1350944400,1350944460
18,"GR Lights",1350944520,1350944580
19,"GR PS4",1351106700,1351106760
19,"GR PS4",1351107060,1351107120
19,"GR PS4",1351107180,1351107270
20,"Garage Door Opener",1351100100,1351100160
20,"Garage Door Opener",1351100220,1351100280
20,"Garage Door Opener",1351100340,1351100400
20,"Garage Door Opener",1351100460,1351100520
21,"Garage Lights",1351100580,1351100610
21,"Garage Lights",1351100700,1351100730
21,"Garage Lights",1351100820,1351100850
21,"Garage Lights",1351100940,1351100970
21,"Garage Lights",1351116240,1351116330
21,"Garage Lights",1351116420,1351116630
22,"Kitchen Lights",1350945000,1350945060
22,"Kitchen Lights",1350945120,1350945180
22,"Kitchen Lights",1350945240,1350945300
23,"Kitchen Under Cabinet Lights",1350945360,1350945420
23,"Kitchen Under Cabinet Lights",1350945480,1350945540
23,"Kitchen Under Cabinet Lights",1350945600,1350945660
24,"Master BA Heat Lamp",1350948240,1350948300
24,"Master BA Heat Lamp",1350948360,1350948420
24,"Master BA Heat Lamp",1350948480,1350948540
25,"Master BA Lights",1350947880,1350947940
25,"Master BA Lights",1350948000,1350948060
25,"Master BA Lights",1350948120,1350948180
26,"Master BR Entry Lights",1350946800,1350946860
26,"Master BR Entry Lights",1350946920,1350946980
26,"Master BR Entry Lights",1350947040,1350947100
27,"Master BR Lights",1350947160,1350947220
27,"Master BR Lights",1350947280,1350947340
27,"Master BR Lights",1350947400,1350947460
28,"Master BR Walk-in Closet Lights",1350947520,1350947580
28,"Master BR Walk-in Closet Lights",1350947640,1350947700
28,"Master BR Walk-in Closet Lights",1350947760,1350947820
29,"Outside Front Door Lights",1350939900,1350939960
29,"Outside Front Door Lights",1350940020,1350940080
29,"Outside Front Door Lights",1350940140,1350940200
30,"Outside Over Garage Lights",1350939540,1350939600
30,"Outside Over Garage Lights",1350939660,1350939720
30,"Outside Over Garage Lights",1350939780,1350939840
31,"Over Sink Light",1350945720,1350945780
31,"Over Sink Light",1350945840,1350945900
31,"Over Sink Light",1350945960,1350946020
32,"Portable Vacuum",1334356920,1334357010
33,"Powder Rm Lights",1350946080,1350946140
33,"Powder Rm Lights",1350946200,1350946260
33,"Powder Rm Lights",1350946320,1350946380
34,"Stairway Lights",1350940620,1350940680
34,"Stairway Lights",1350940740,1350940800
34,"Stairway Lights",1350940860,1350940920
35,"Toaster",1334356440,1334356470
35,"Toaster",1356635820,1356635880
35,"Toaster",1356635940,1356636000
35,"Toaster",1356636060,1356636120
36,"Trash Compactor",1351104180,1351104180
36,"Trash Compactor",1351104300,1351104300
36,"Trash Compactor",1351104360,1351104360
